"author","Affiliation"
"Vance W. Berger","Indeed"
"Antonio A. Casilli","Sri Padmavati Women's University"
"Antonio Santos-Ortega","Jobspring Partners"
"José Luis Molina","Academy of Management and Entrepreneurship"
"Paola Tubaro","Heritage College"
"Sven Ove Hansson","Credit Karma"
"Dan Perry","Gemini"
"Gad Perry","Tokushima University"
"Howard J. Curzer","Kentik"
"Mark C. Wallace","Kosin University"
"Jukka Varelius","Rockbot"
"David B. Resnik","Academy of Management and Entrepreneurship"
"Kathy Partin","University of Engineering and Technology Lahore"
"Taraswi Banerjee","Fachhochschule Dortmund"
"Andrea Owe","RGA Associates"
"Mark Coeckelbergh","Bayside Solutions"
"Seth D. Baum","Kentik"
"Søren Holm","Ecole de l'Air"
"Thomas Ploug","Oracle"
"Emel Aközer","Woebot Labs"
"Mehmet Aközer","Skillz"
"Morten P. Oksvold","Rockbot"
"Alexander Hevelke","The Juilliard School"
"Julian Nida-Rümelin","Vietnam Maritime University"
"Ana Mlinaric","Mozilla"
"Jelena Omazic","Allbirds"
"Martina Horvat","Kagawa Medical School"
"Vesna Supak-Smolcic","Tokyo Denki University"
"Fern Wickson","Linguistic University of Nizhny Novgorod"
"Adèle Paul-Hus","Tokyo Denki University"
"Bryn Williams-Jones","Islamic Azad University, Janah"
"Cassidy R. Sugimoto","Universidad Privada Abierta Latinoamericana"
"Elise Smith","Braintree"
"Min Shi","Skillz"
"Vincent Larivière","University of Medicine Magway"
"Zubin Master","Beijing Union University"
"Michael Davis 0002","Clover Health"
"Carol B. Fowler","Kagawa Medical School"
"David L. Evers","Grand Rounds"
"Jeffrey T. Mason","Credit Karma"
"Rebecca K. Mimnall","Radical Designs"
"Emmanuel Kingsford Owusu","Ecole de l'Air"
"Erika Pärn","University of Debrecen "
"Ming Shan","Firat (Euphrates) University"
"Robert E. McGinn","Philo"
"Raphael Cohen-Almagor","Royal Danish School of Pharmacy"
"Byron Newberry","University of Medicine Magway"
"Greta Gorsuch","IBM"
"Katherine A. Austin","Linguistic University of Nizhny Novgorod"
"Thomas Darwin","Radical Designs"
"William D. Lawson","Vietnam Maritime University"
"Filippo Santoni de Sio","Braintree"
"Andreea Peca","Universitas Negeri Surabaya"
"Bram Vanderborght","Indiegogo"
"Cristina Pop 0002","Universidad Privada Abierta Latinoamericana"
"Daniel O. David","Aktana"
"Ramona Simut","Kagawa Medical School"
"Sebastian Pintea","Shandong Medical University"
"Conrad Heilmann","Kasetsart University"
"Frances S. Grodzinsky","Universidad Autónoma de Veracruz Villa Rica"
"Keith W. Miller 0001","Ivanovo State Power University"
"Marty J. Wolf","Awadhesh Pratap Singh University"
"Cary Moskovitz","Gemini"
"A. Lauren Crain","Heritage College"
"Brian C. Martinson","Liaoning Technical University"
"Carol R. Thrush","University of Debrecen "
"Guangwei Hu","Philo"
"Lex M. Bouter","Braintree"
"Natalie Evans","BloomThat"
"Shaoxiong Brian Xu","Tempo Automation"
"Bailey C. Davis","College of St. Elizabeth"
"Courtney E. Williams","University of Debrecen "
"George C. Banks","Tempo Automation"
"Lisa M. Rasmussen","Highland Capital Partners"
"Mary M. Hausfeld","Swiftly"
"René von Schomberg","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Alexander Mertens","The Juilliard School"
"Christopher Brandl","University of Baltimore"
"Frank Ole Flemisch","Huaihai Institute of Technology"
"Jochen Nelles","Universitas Negeri Surabaya"
"Katharina Schäfer","The Superior College "
"Martin Frenz","University of the Faroe Islands"
"Matthias Wille","Jobspring Partners"
"Peter Rasche","UserTesting"
"Verena Nitsch","The Juilliard School"
"Jessica Li","Islamic Azad University, Janah"
"Shengli Fu","Universidad Privada Abierta Latinoamericana"
"Katherine A. McComas","Stockholm School of Economics"
"Ralph J. Greenspan","Clover Health"
"Anders Braarud Hanssen","Universidad Privada Abierta Latinoamericana"
"Hanne Marie Nielsen","Universitas Negeri Surabaya"
"Ingrid Olesen","General Assembly"
"Philippe A. Tanguy","Universidad Autónoma de Veracruz Villa Rica"
"Thierry C. Pauchant","University of Baltimore"
"Yoann Guntzburger","Swiftly"
"Gianmarco Baldini","Beijing Union University"
"Maarten Botterman","Fachhochschule Dortmund"
"Mariachiara Tallacchini","Tokyo Denki University"
"Ricardo Neisse","Windsor University School of Medicine"
"Bernice Elger","Ecole de l'Air"
"Fabrice Jotterand","The Juilliard School"
"Marcello Ienca","General Assembly"
"Reto W. Kressig","Jobspring Partners"
"Tenzin Wangmo","St. Petersburg State University of Technology and Design"
"Arif Sari","Universitas Negeri Surabaya"
"Simona Hasková","Vietnam Maritime University"
"Yue Liang Zheng","Woebot Labs"
"Anna Marousková","Swiftly"
"Marek Vochozka","University of Debrecen "
"Vojtech Stehel","Veterinärmedizinische Universität Wien"
"Hugh P. Shanahan","Kabam"
"Louise Bezuidenhout","Heritage College"
"Robert Quick","Université Senghor d'Alexandrie"
"Sven Nyholm","Indeed"
"Alison L. Antes","Universidad Autónoma de Veracruz Villa Rica"
"Kari A. Baldwin","Linguistic University of Nizhny Novgorod"
"Samuel V. Bruton","Avicenna International College"
"Stephanie Solomon Cargill","UserTesting"
"Tristan J. McIntosh","99designs"
"Charles-Étienne Daniel","Odense University"
"Danielle Tapin","Clover Network"
"Georges-Auguste Legault","Rockbot"
"Jacques Beauvais","Jobspring Partners"
"Jean-Pierre Béland","Naytev"
"Johane Patenaude","Always Hired"
"Jonathan Genest","Kasetsart University"
"Louise Bernier","Tokushima University"
"Marie-Sol Poirier","Stockholm School of Economics"
"Patrick Boissy","Academy of Management and Entrepreneurship"
"Vanessa Chenel","Ecole de l'Air"
"Abhilash Kizhakenath","TrustArc"
"Behnam Taebi","Shandong Medical University"
"Geerten van de Kaa","Postmates"
"Ibo van de Poel","Layer"
"Jafar Rezaei 0001","The Sourcery"
"Angela Fortunato","Skillz"
"Claire Gloeckner","Philo"
"Rosa Lynn Pinkus","Highland Capital Partners"
"Anton Petrenko","Royal Danish School of Pharmacy"
"Dan McArthur","Stockholm School of Economics"
"Jason Borenstein","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Joseph R. Herkert","Indeed"
"George R. Hoffmann","Universidad Privada Abierta Latinoamericana"
"Khaled Moustafa","Clover Network"
"Jameson M. Wetmore","Betterworks"
"Shane Epting","Intelliswift"
"Michael J. Selgelid","Universidad Privada Los Andes"
"Nicholas G. Evans","Veterinärmedizinische Universität Wien"
"Ayanna M. Howard","University of California, Riverside"
"Noor Munirah Isa","Tokushima University"
"Bert van Wee","Allbirds"
"Bert Gordijn","Islamic Azad University, Janah"
"David Wright 0003","AMD"
"Declan O'Sullivan","Stitch Labs"
"Karsten Weber","Awadhesh Pratap Singh University"
"Philip Brey","Sri Padmavati Women's University"
"Rowena Rodrigues","Awadhesh Pratap Singh University"
"Wessel Reijers","Universidad Privada Abierta Latinoamericana"
"Alex A. Karner","Universidad Privada Los Andes"
"Jessica Morley","Fachhochschule Dortmund"
"Luciano Floridi","Skillz"
"Camille Nebeker","Codexis"
"Cinnamon S. Bloss","Universitas Negeri Surabaya"
"John Harlow","General Assembly"
"Michelle Takemoto","Woebot Labs"
"Nadir Weibel","Fachhochschule Dortmund"
"Rasheed Al Kotob","Windsor University School of Medicine"
"Rubi Linares-Orozco","Fachhochschule Erfurt"
"Vincent Chan","Windsor University School of Medicine"
"Glenn Borchardt","Odense University"
"Mehdi Dadkhah","Technische Universität München"
"Mohammad Lagzian","University of Debrecen "
"Alison Kretser","Zero Financial"
"Andrea Grantham","Stockholm School of Economics"
"Catherine Woteki","Ecole de l'Air"
"Chavonda Jacobs-Young","Islamic Azad University, Janah"
"David B. Allison","Kasetsart University"
"Delia Murphy","Linguistic University of Nizhny Novgorod"
"Dorothea Vafiadis","Logikcull"
"Jessica M. Wyndham","Islamic Azad University, Janah"
"Johanna Dwyer","Gustav-Siewerth-Akademie"
"Kathryn J. Boor","Kentik"
"Linda J. Harris","AMD"
"Rachelle Hollander","Gemini"
"Rickey Y. Yada","The Sourcery"
"Sarah M. Rovito","National Hsin-Chu Teachers College"
"Stefano Bertuzzi","Fachhochschule Erfurt"
"Todd Abraham","Université Senghor d'Alexandrie"
"Heidrun Åm","Betterworks"
"Knut H. Sørensen","Kagawa Medical School"
"Maria Bårdsen Hesjedal","Braintree"
"Roger Strand","Linguistic University of Nizhny Novgorod"
"Susan A. Elmore","University of Baltimore"
"Eric M. Meslin","Okayama University of Science"
"Leonidas G. Koniaris","Linguistic University of Nizhny Novgorod"
"Mary I. Coombs","Odense University"
"Teresa A. Zimmers","The Sourcery"
"Matthew J. Dennis","Zero Financial"
"James A. Blumenthal","Universidad Autónoma de Veracruz Villa Rica"
"Kenneth H. Funk II","Linguistic University of Nizhny Novgorod"
"Wei-Tau Lee","Skillz"
"Catherine D'Ignazio","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Don Blair","Okayama University of Science"
"Hagit Keysar","Universidad Privada Los Andes"
"Pablo Rey-Mazón","Dover"
"Shannon Dosemagen","Awadhesh Pratap Singh University"
"Grant Fore","Radical Designs"
"Justin L. Hess","Ecole de l'Air"
"Brent D. Mittelstadt 0002","Vietnam Maritime University"
"Corinne Cath","TrustArc"
"Mariarosaria Taddeo","Skillz"
"Sandra Wachter","Swiftly"
"Hossein Yahaghi","Allbirds"
"Javad Yahaghi","Fachhochschule Erfurt"
"Shahryar Sorooshian","Odense University"
"Gerd Michelsen","Okayama University of Science"
"Flavio Comim","Sri Padmavati Women's University"
"Georgina Curto","Mozilla"
"Erik Laes","Université Senghor d'Alexandrie"
"Gunter Bombaerts","West Pomeranian Business School in Szczecin"
"Evan Selinger","Odense University"
"Jathan Sadowski","Universidad Autónoma de Veracruz Villa Rica"
"Kyle Powys Whyte","Postmates"
"Susan G. Spierre","Odense University"
"Thomas P. Seager","Preston University, Pakistan Campus"
"Auke J. K. Pols","University of Engineering and Technology Lahore"
"Carl Mitcham","Tokushima University"
"Gary Lee Downey","National Hsin-Chu Teachers College"
"Juan C. Lucena","Vietnam Maritime University"
"Hans Peter Graf","AMD"
"Miguel Roig","The Juilliard School"
"Sonia Maria Ramos de Vasconcelos","Braintree"
"Eugenijus Gefenas","Braintree"
"Jurate Lekstutiene","Tempo Automation"
"Chijs van Nieuwenhuizen","Tokyo Denki University"
"David Buitenweg","Bayside Solutions"
"Ilja L. Bongers","University of Baltimore"
"Ivo Maathuis","Stockholm School of Economics"
"Maartje G. H. Niezen","Islamic Azad University, Janah"
"Eran Klein","Indiegogo"
"Frida Simonstein","Kabam"
"Gary Santillanes","City University Programs in Bulgaria "
"Ryan Marshall Felder","University of California, Riverside"
"Douglas Walton","Okayama University of Science"
"Glen Miller","Kosin University"
"Dalal M. Al Tamimi","Universitas Negeri Surabaya"
"Magdy A. Kharoshah","Avicenna International College"
"Mohammed Madadin","Flipboard"
"Ritesh G. Menezes","IBM"
"Savita Lasrado","Kagawa Medical School"
"Vijaya Marakala","University of the Faroe Islands"
"Jasmin Wilson","University of Debrecen "
"Patricia Ann Mabrouk","Jobspring Partners"
"Yiyang Gao","Windsor University School of Medicine"
"Joost Alleblas","RGA Associates"
"Brian P. Coppola","University of Medicine Magway"
"Huai Sun","Windsor University School of Medicine"
"India C. Plough","University of Engineering and Technology Lahore"
"Matthew Benjamin Reisman","Okayama University of Science"
"Aceil Al-Khatib","Indeed"
"Mathieu Bouville","Universitat de Vic"
"Manjur S. Kolhar","Liaoning Technical University"
"Alain Braillon","Liaoning Technical University"
"J. Fdez-Valdivia","Stitch Labs"
"Jose A. García 0001","Firat (Euphrates) University"
"Rosa Rodríguez-Sánchez","Quantcast"
"Benedicte Wilson","University of Medicine Magway"
"Erika Palmer","Windsor University School of Medicine"
"Barbara K. Redman","Naytev"
"Roel Snieder","Gemini"
"Somsri Wiwanitkit","Tokushima University"
"Viroj Wiwanitkit","West Pomeranian Business School in Szczecin"
"Kristine Bærøe","Betterworks"
"Torbjørn Gundersen","Stockholm School of Economics"
"William E. Kastenberg","Tokushima University"
"Emily Bell","Stockholm School of Economics"
"Mary E. Sunderland","Rockbot"
"Rahul Uday Nayak","Royal Danish School of Pharmacy"
"Angel Peiró-Signes","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"María-del-Val Segarra-Oña","Clover Health"
"Roberto Cervelló-Royo","Triplebyte"
"Anne-Floor J. de Kanter","Awadhesh Pratap Singh University"
"Annelien L. Bredenoord","RGA Associates"
"Carlijn V. C. Bouten","Tokushima University"
"Karin Jongsma","Allbirds"
"Daming Zhang","Shandong Medical University"
"Qinghui Suo","99designs"
"Yang Liu","Preston University, Pakistan Campus"
"Peter Kroes","IBM"
"Kelly Laas","IBM"
"Daniele Chiffi","Jobspring Partners"
"Lorenza Petrini","Bayside Solutions"
"Luca Zanetti","Oracle"
"Elizabeth A. Boyd","Universitas Negeri Surabaya"
"Lisa A. Bero","City University Programs in Bulgaria "
"Philip J. Langlais","Outreach"
"Aimee van Wynsberghe","Huaihai Institute of Technology"
"Emma Keuleyan","Ivanovo State Power University"
"Amos K. Laar","Fachhochschule Dortmund"
"Arthur Caplan","Liaoning Technical University"
"Kyle Ferguson","Bayside Solutions"
"Andrea Di Cencio","Kosin University"
"Lhassan M'Barki","99designs"
"Mohamed Abioui","Credit Karma"
"Mohamed Dades","Oracle"
"Mohammed Benssaou","Logikcull"
"Abhishek Tandon","Preston University, Pakistan Campus"
"Frederick Grinnell","Allbirds"
"Barbara E. Ribeiro","Jobspring Partners"
"Robert D. J. Smith","City University Programs in Bulgaria "
"Alex Richman","Ahi Evran University"
"Vincent Richman","Woebot Labs"
"Ahmed Fouad Bouras","Windsor University School of Medicine"
"Hadjar Toumi","Indeed"
"Lamia Kara","University of California, Riverside"
"Mustapha Benmansour","Fachhochschule Erfurt"
"Nassim Kazitani","BloomThat"
"Noureddine Bettahar","Royal Danish School of Pharmacy"
"Arie Rip","Woebot Labs"
"Christine Winberg","Braintree"
"Penelope Engel-Hills","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Daniele Fanelli","Layer"
"Vanja Pupovac","Royal Danish School of Pharmacy"
"Ali Shirzadi","Linguistic University of Nizhny Novgorod"
"Ashish Patel","99designs"
"Doniel Drazin","The Superior College "
"George Hanna","TrustArc"
"Kevin Spitler","University of Debrecen "
"Milos Cekic","Liaoning Technical University"
"Ray Chu","Betterworks"
"Gianluigi Viscusi","Islamic Azad University, Janah"
"Kyriaki Papageorgiou","Allbirds"
"Maja Horst","Firat (Euphrates) University"
"Mladen Petrovecki","Zero Financial"
"Snjezana Prijic-Samarzija","University of California, Riverside"
"Kelly Joslin Holloway","Ahi Evran University"
"James A. Stieb","Avicenna International College"
"Charles E. Harris","UserTesting"
"Jessica Smith Rolston","Technische Universität München"
"William T. Lynch","Kentik"
"Matthew A. Butkus","Dover"
"Ramón Queraltó","Bayside Solutions"
"Christopher Lawrence","AMD"
"Keith Raffel","Fachhochschule Erfurt"
"L. Mahadevan","The Sourcery"
"Sam Weiss Evans","Outreach"
"Sheila Jasanoff","The Juilliard School"
"Steffen Steinert","Universidad Privada Los Andes"
"Alison J. Kerr","Flipboard"
"Andrew Chung","Clover Health"
"Athena Lin","Codexis"
"Steven Puylaert","Sri Padmavati Women's University"
"Udo Pesch","Naytev"
"Ben A. Minteer","Fachhochschule Dortmund"
"James P. Collins","Awadhesh Pratap Singh University"
"Charlotte Stix","West Pomeranian Business School in Szczecin"
"Charles-Henry Frouart","Postmates"
"Christian Hervé","Triplebyte"
"Christophe Le Tourneau","St. Petersburg State University of Technology and Design"
"Guillaume Vogt","University of Debrecen "
"Henri-Corto Stoeklé","Tokyo Denki University"
"Marie-France Mamzer-Bruneel","Tokyo Denki University"
"Pierre Laurent-Puig","Tokushima University"
"Svetlana Zernes","Université Senghor d'Alexandrie"
"Eun Ah Lee","Vietnam Maritime University"
"Magdalena Grohman","99designs"
"Marco Tacca","University of California, Riverside"
"Matthew J. Brown","Academy of Management and Entrepreneurship"
"Nicholas R. Gans","Okayama University of Science"
"Ruchen Wen","TrustArc"
"Ryan Blake Jackson","Preston University, Pakistan Campus"
"Tom Williams 0001","The Juilliard School"
"Susanne Öchsner","Oracle"
"Ulrike Felt","Outreach"
"Haldun M. Özaktas","Beijing Union University"
"Nora Freya Lindemann","AMD"
"Balamuralithara Balakrishnan","College of St. Elizabeth"
"Fumihiko Tochinai","TrustArc"
"Hidekazu Kanemitsu","Beijing Union University"
"Emily A. Ronning","Ahi Evran University"
"Melissa S. Anderson","Flipboard"
"Raymond de Vries","Swiftly"
"Matthew A. Allison","Outreach"
"Sean T. Powell","Shandong Medical University"
"Ronnie Hawkins","Woebot Labs"
"Shlomo Mark","City University Programs in Bulgaria "
"Yotam Lurie","University of Medicine Magway"
"David W. Flater","Swiftly"
"Yelena Yesha","Postmates"
"Bharat K. Bhargava","Postmates"
"Jagannathan Srinivasan","Highland Capital Partners"
"Prasun Dewan","Kagawa Medical School"
"Yin-he Jiang","Windsor University School of Medicine"
"Olivier Ridoux","Gustav-Siewerth-Akademie"
"Arif Ghafoor","Philo"
"P. Bruce Berra","Windsor University School of Medicine"
"Antoine Rauzy","RGA Associates"
"Hava T. Siegelmann","Triplebyte"
"Ophir Frieder","Rockbot"
"Alexander Bockmayr","Skillz"
"Shirley Browne","Woebot Labs"
"Nabil R. Adam","University of Baltimore"
"Ramesh Subramanian","Liaoning Technical University"
"Barbara Gängler","Stitch Labs"
"James Clifford","Stockholm School of Economics"
"Arie Segev","TrustArc"
"Rakesh Chandra","Kentik"
"Pascal Van Hentenryck","Ahi Evran University"
"Vijay A. Saraswat","Kasetsart University"
"Yves Deville","Kagawa Medical School"
"Godehard Link","Université Senghor d'Alexandrie"
"Frédéric Benhamou","Ahi Evran University"
"Michel Rueher","The Sourcery"
"Manfred Börkel","Indiegogo"
"Ramez Elmasri","Jobspring Partners"
"Vram Kouramajian","College of St. Elizabeth"
"Haiyan Ye","Liaoning Technical University"
"Kokou Yétongnon","Mozilla"
"Martin Andersson","Beijing Union University"
"Stefano Spaccapietra","Firat (Euphrates) University"
"Yann Dupont","Ivanovo State Power University"
"François Fages","Mozilla"
"H. V. Jagadish","Beijing Union University"
"Narain H. Gehani","West Pomeranian Business School in Szczecin"
"Oded Shmueli","Technische Universität München"
"Stanley Y. W. Su","Logikcull"
"Yuh-Ming Shyy","Betterworks"
"Hans-Joachim Novak","Firat (Euphrates) University"
"Zuzana Krifka Dobes","Universitat de Vic"
"Dieter Fensel","Woebot Labs"
"Dieter Landes","Veterinärmedizinische Universität Wien"
"Jürgen Angele","Fachhochschule Erfurt"
"Susanne Neubert","Universidad Privada Abierta Latinoamericana"
"Giuseppe Nardiello","Postmates"
"Philippe Codognet","Awadhesh Pratap Singh University"
"Jean-Louis Imbert","Fachhochschule Dortmund"
"Francesca Rossi 0001","Indeed"
"Ugo Montanari","RGA Associates"
"Baudouin Le Charlier","Kasetsart University"
"Hélène Kirchner","Avicenna International College"
"Hubert Comon","Clover Network"
"Jean-Claude Franchitti","Skillz"
"Roger King","Zero Financial"
"Helmut Schnelle","Ivanovo State Power University"
"Peter C. Lockemann","The Juilliard School"
"Kumar V. Vadaparty","Indeed"
"Shamim A. Naqvi","Technische Universität München"
"Elisa Bertino","Indeed"
"Pierangela Samarati","Highland Capital Partners"
"Sushil Jajodia","Triplebyte"
"Raj Tewari","Universidad Privada Los Andes"
"Larry J. Peterson","Naytev"
"Phillip C.-Y. Sheu","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Shashi K. Gadia","Gustav-Siewerth-Akademie"
"Vimal Chopra","Rockbot"
"Joel L. Wolf","University of Debrecen "
"John Turek","Beijing Union University"
"Ming-Syan Chen","TrustArc"
"Philip S. Yu","Vietnam Maritime University"
"Thom W. Frühwirth","University of Baltimore"
"Amit P. Sheth","Universidad Autónoma de Veracruz Villa Rica"
"George Karabatis","Aktana"
"Marek Rusinkiewicz","The Superior College "
"Ernest Mwebaze","Firat (Euphrates) University"
"John A. Quinn","Dover"
"Hyokun Yun","National Hsin-Chu Teachers College"
"S. V. N. Vishwanathan","Mozilla"
"Aarti Singh","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Alessandro Rinaldo","Odense University"
"James Sharpnack","Layer"
"Christian Barillot","Liaoning Technical University"
"Daniel García-Lorenzo","Logikcull"
"Florence Forbes","Radical Designs"
"Michel Dojat","The Juilliard School"
"Senan Doyle","Triplebyte"
"Aaron C. Courville","Kabam"
"James Bergstra","Postmates"
"Yoshua Bengio","Indeed"
"Andrew W. Moore 0001","Kosin University"
"Geoffrey J. Gordon","Credit Karma"
"Sajid M. Siddiqi","Universitas Negeri Surabaya"
"Arnak S. Dalalyan","Royal Danish School of Pharmacy"
"Olivier Collier","Universidad Privada Los Andes"
"Abhradeep Thakurta","Logikcull"
"Prateek Jain 0002","Stitch Labs"
"Pravesh Kothari","Philo"
"Balaji Krishnapuram","Always Hired"
"R. Bharat Rao","University of Debrecen "
"Rómer Rosales","Preston University, Pakistan Campus"
"Shipeng Yu","Always Hired"
"Abdel-rahman Mohamed","General Assembly"
"Yichuan Tang","Heritage College"
"Brian Eriksson","Radical Designs"
"Laura Balzano","General Assembly"
"Robert D. Nowak","Allbirds"
"Lehel Csató","Woebot Labs"
"Zalán Bodó","Odense University"
"Zsolt Minier","Heritage College"
"Dor Kedem","Allbirds"
"Kilian Q. Weinberger","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Minmin Chen","99designs"
"Olivier Chapelle","Oracle"
"Zhixiang Eddie Xu","Postmates"
"Amos J. Storkey","The Juilliard School"
"Felix V. Agakov","Philo"
"Peter Orchard","Naytev"
"Naftali Tishby","Bayside Solutions"
"Ohad Shamir","Technische Universität München"
"José M. Peña 0001","99designs"
"Marko Grobelnik","General Assembly"
"Mitja Trampus","National Hsin-Chu Teachers College"
"Akihiro Koide","Technische Universität München"
"Hiroshi Motoda","Always Hired"
"Kazumi Saito","Braintree"
"Kouzou Ohara","Radical Designs"
"Masahiro Kimura","Triplebyte"
"Diego García-Saiz","University of Baltimore"
"Marta E. Zorrilla","University of Baltimore"
"David A. Castañón","Stitch Labs"
"Kirill Trapeznikov","Codexis"
"Venkatesh Saligrama","Huaihai Institute of Technology"
"Kyung-Ah Sohn","Bayside Solutions"
"Seyoung Kim","Windsor University School of Medicine"
"Ali Jalali","City University Programs in Bulgaria "
"Pradeep Ravikumar","Zero Financial"
"Sujay Sanghavi","Intelliswift"
"Vishvas Vasuki","Logikcull"
"Mehreen Saeed","Universidad Privada Abierta Latinoamericana"
"Bing Bai","Naytev"
"Corinna Cortes","Stockholm School of Economics"
"David Grangier","BloomThat"
"Jason Weston","Tempo Automation"
"Mehryar Mohri","Linguistic University of Nizhny Novgorod"
"Ronan Collobert","Aktana"
"David J. C. MacKay","College of St. Elizabeth"
"Iain Murray 0001","The Juilliard School"
"Ryan Prescott Adams","Jobspring Partners"
"Adrian Johnston","Fachhochschule Erfurt"
"Liam P. Maguire","Stockholm School of Economics"
"Michael McCann","Swiftly"
"Yuhua Li 0001","The Superior College "
"Aurélien Garivier","University of Baltimore"
"Emilie Kaufmann","BloomThat"
"Olivier Cappé","Always Hired"
"Frank D. Wood","Université Senghor d'Alexandrie"
"Makoto Yamada","UserTesting"
"Masashi Sugiyama","Highland Capital Partners"
"Liu Yang 0001","Kentik"
"Steve Hanneke","Betterworks"
"Cun-Hui Zhang","Kentik"
"Ping Li 0001","Universitas Negeri Surabaya"
"Christopher R. Dance","The Sourcery"
"Onno Zoeter","Universidad Privada Los Andes"
"Christopher D. Manning","Always Hired"
"Daniel A. McFarland","The Superior College "
"Ramesh Nallapati","The Superior College "
"Edoardo M. Airoldi","Okayama University of Science"
"Hossein Azari Soufiani","Université Senghor d'Alexandrie"
"Leo Zhu","Postmates"
"Li Wan","Beijing Union University"
"Rob Fergus","Firat (Euphrates) University"
"Benjamin Taskar","Naytev"
"David J. Weiss","Universidad Autónoma de Veracruz Villa Rica"
"Alexandru Niculescu-Mizil","Zero Financial"
"Claudia Perlich","Awadhesh Pratap Singh University"
"Dong Wang","Bayside Solutions"
"Grzegorz Swirszcz","Quantcast"
"Jianying Hu","Kasetsart University"
"Jing Xiao","Highland Capital Partners"
"Moninder Singh","Vietnam Maritime University"
"Prem Melville","Braintree"
"Vikas Sindhwani","Swiftly"
"Wei Xiong Shang","Jobspring Partners"
"Yan Liu 0002","Grand Rounds"
"Yanfeng Zhu 0001","Bayside Solutions"
"Chen-Hung Wu","Veterinärmedizinische Universität Wien"
"Chen-Tse Tsai","Logikcull"
"Cheng-Hao Tsai","Université Senghor d'Alexandrie"
"Chia-Mau Ni","Bayside Solutions"
"Chieh-Yen Lin","Quantcast"
"Chien-Chih Wang","Preston University, Pakistan Campus"
"Chih-Jen Lin","Technische Universität München"
"Chun-Liang Li","Tempo Automation"
"Chun-Sung Ferng","Outreach"
"Chung-Yi Li","Sri Padmavati Women's University"
"Hsuan-Tien Lin","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Ku-Chun Chou","Liaoning Technical University"
"Kuan-Wei Wu","Liaoning Technical University"
"Po-Lung Chen","Fachhochschule Erfurt"
"Po-Wei Wang","Islamic Azad University, Janah"
"Rong-Bing Chiu","Credit Karma"
"Shou-De Lin","University of Debrecen "
"Shu-Hao Yu","University of Debrecen "
"Todd G. McKenzie","IBM"
"Tsung-Ting Kuo","Firat (Euphrates) University"
"Wei-Lun Su","Kosin University"
"Wei-Shih Lin","Stitch Labs"
"Ya-Hsuan Chang","Kabam"
"Yao-Nan Chen","Gustav-Siewerth-Akademie"
"Yu-Cheng Chou","Academy of Management and Entrepreneurship"
"Antoine Bordes","Tempo Automation"
"Léon Bottou","National Hsin-Chu Teachers College"
"Nicolas Usunier","General Assembly"
"Elad Hazan","99designs"
"Satyen Kale","University of Engineering and Technology Lahore"
"Akshat Kumar","Indeed"
"Marc Toussaint","Royal Danish School of Pharmacy"
"Shlomo Zilberstein","The Juilliard School"
"Gilles Stoltz","Quantcast"
"Shie Mannor","Codexis"
"Vianney Perchet","The Juilliard School"
"Alexander Rakhlin","Betterworks"
"Ambuj Tewari","Intelliswift"
"Karthik Sridharan","Windsor University School of Medicine"
"Dario García-García","Universitas Negeri Surabaya"
"Robert C. Williamson","Mozilla"
"Huan Liu","99designs"
"Iñaki Inza","The Juilliard School"
"Louis Wehenkel","Linguistic University of Nizhny Novgorod"
"Yvan Saeys","Kagawa Medical School"
"Yves Van de Peer","Clover Health"
"Gal Elidan","Clover Network"
"Jiang Wang 0001","Universidad Privada Los Andes"
"Junsong Yuan","Always Hired"
"Ying Wu 0001","Woebot Labs"
"Zhuoyuan Chen","Woebot Labs"
"Arthur Gretton","Shandong Medical University"
"Carlos Guestrin","Kentik"
"Le Song","University of Medicine Magway"
"Daniel Eaton","Fachhochschule Dortmund"
"Kevin P. Murphy","National Hsin-Chu Teachers College"
"Baptiste Jeudy","Intelliswift"
"Laurent Miclet","St. Petersburg State University of Technology and Design"
"Nelly Barbot","Université Senghor d'Alexandrie"
"Donglin Niu","West Pomeranian Business School in Szczecin"
"Jennifer G. Dy","Universidad Privada Abierta Latinoamericana"
"Michael I. Jordan","Indiegogo"
"Geordie Rose","Credit Karma"
"Hartmut Neven","Beijing Union University"
"Vasil S. Denchev","West Pomeranian Business School in Szczecin"
"William G. Macready","Tempo Automation"
"Taiji Suzuki","Radical Designs"
"Menno van Zaanen","University of Debrecen "
"Nanne van Noord","University of Baltimore"
"Alexander J. Smola","University of Medicine Magway"
"Alexandros Karatzoglou","Philo"
"Markus Weimer","Veterinärmedizinische Universität Wien"
"David R. Hardoon","Clover Network"
"John Shawe-Taylor","Codexis"
"Alexandre Lacoste","Windsor University School of Medicine"
"François Laviolette","Tempo Automation"
"Mario Marchand","Kabam"
